construct_id	junction	tag_form	completed_method_count	deferred_primary_method_count	supporting_dimensions	disfavoring_dimensions	robustness_class	integrated_perturbation_class	unresolved_conflicts
A89_2C_224_225_MAP8	224|225	MAP8	4	3	none	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_224_225_HA	224|225	HA	4	3	none	tag_specific_plm;loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_224_225_G196_minimal	224|225	G196_minimal	4	3	none	tag_specific_plm;loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_224_225_G196_practical_GS	224|225	G196_practical_GS	4	3	none	tag_specific_plm;loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_171_172_MAP8	171|172	MAP8	4	3	tag_specific_plm	loop_proxy;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_171_172_HA	171|172	HA	4	3	tag_specific_plm	loop_proxy;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_171_172_G196_minimal	171|172	G196_minimal	4	3	tag_specific_plm	loop_proxy;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_171_172_G196_practical_GS	171|172	G196_practical_GS	4	3	tag_specific_plm	loop_proxy;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_28_29_MAP8	28|29	MAP8	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_28_29_HA	28|29	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_28_29_G196_minimal	28|29	G196_minimal	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_28_29_G196_practical_GS	28|29	G196_practical_GS	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_172_173_MAP8	172|173	MAP8	4	3	tag_specific_plm	loop_proxy;oligomer_context;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_172_173_HA	172|173	HA	4	3	tag_specific_plm	loop_proxy;oligomer_context;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_172_173_G196_minimal	172|173	G196_minimal	4	3	tag_specific_plm	loop_proxy;oligomer_context;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_172_173_G196_practical_GS	172|173	G196_practical_GS	4	3	tag_specific_plm	loop_proxy;oligomer_context;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_27_28_MAP8	27|28	MAP8	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_27_28_HA	27|28	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_27_28_G196_minimal	27|28	G196_minimal	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_27_28_G196_practical_GS	27|28	G196_practical_GS	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_25_26_MAP8	25|26	MAP8	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_25_26_HA	25|26	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_25_26_G196_minimal	25|26	G196_minimal	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_25_26_G196_practical_GS	25|26	G196_practical_GS	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_17_18_MAP8	17|18	MAP8	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_17_18_HA	17|18	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_17_18_G196_minimal	17|18	G196_minimal	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_17_18_G196_practical_GS	17|18	G196_practical_GS	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_18_19_MAP8	18|19	MAP8	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_18_19_HA	18|19	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_18_19_G196_minimal	18|19	G196_minimal	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_18_19_G196_practical_GS	18|19	G196_practical_GS	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_24_25_MAP8	24|25	MAP8	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_24_25_HA	24|25	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_24_25_G196_minimal	24|25	G196_minimal	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_24_25_G196_practical_GS	24|25	G196_practical_GS	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_16_17_MAP8	16|17	MAP8	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_16_17_HA	16|17	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_16_17_G196_minimal	16|17	G196_minimal	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_16_17_G196_practical_GS	16|17	G196_practical_GS	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_22_23_MAP8	22|23	MAP8	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_22_23_HA	22|23	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_22_23_G196_minimal	22|23	G196_minimal	4	3	tag_specific_plm;oligomer_context;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_22_23_G196_practical_GS	22|23	G196_practical_GS	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_37_38_MAP8	37|38	MAP8	4	3	tag_specific_plm;contact_network	loop_proxy;oligomer_context;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_37_38_HA	37|38	HA	4	3	tag_specific_plm;contact_network	loop_proxy;oligomer_context;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_37_38_G196_minimal	37|38	G196_minimal	4	3	tag_specific_plm;contact_network	loop_proxy;oligomer_context;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_37_38_G196_practical_GS	37|38	G196_practical_GS	4	3	tag_specific_plm;contact_network	loop_proxy;oligomer_context;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_26_27_MAP8	26|27	MAP8	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_26_27_HA	26|27	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_26_27_G196_minimal	26|27	G196_minimal	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_26_27_G196_practical_GS	26|27	G196_practical_GS	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
