junction	v1_conservation_class	v2_conservation_class	v1_priority_interpretation	v2_priority_interpretation	v1_type_weighted_window_mean_identity	v2_type_weighted_window_mean_identity	v1_type_weighted_window_mean_entropy	v2_type_weighted_window_mean_entropy	v1_expanded_insertion_frequency	v2_expanded_insertion_frequency	v2_expanded_indel_category	interpretation_changed
175|176	intermediate	intermediate	unchanged; strict geometry but conservation does not clear functional risk	unchanged_or_unresolved	0.883547	0.888528	0.380731	0.370562	0.000000	0.000000	none	False
176|177	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.880342	0.886364	0.400330	0.385044	0.000000	0.000000	none	False
177|178	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.894231	0.897186	0.346161	0.338621	0.000000	0.000000	none	False
178|179	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.894231	0.897186	0.346161	0.338621	0.000000	0.000000	none	False
179|180	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.894231	0.897186	0.346161	0.338621	0.000000	0.000000	none	False
180|181	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.894231	0.897186	0.346161	0.338621	0.000000	0.000000	none	False
181|182	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.894231	0.897186	0.346161	0.338621	0.000000	0.000000	none	False
182|183	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.936966	0.939394	0.179328	0.172899	0.000000	0.000000	none	False
183|184	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.936966	0.939394	0.179328	0.172899	0.000000	0.000000	none	False
184|185	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.959402	0.961039	0.109298	0.104036	0.000000	0.000000	none	False
185|186	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.896367	0.898268	0.202056	0.192626	0.000000	0.000000	none	False
186|187	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.893162	0.896104	0.221655	0.207108	0.000000	0.000000	none	False
187|188	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.927350	0.930736	0.151556	0.132035	0.000000	0.000000	none	False
188|189	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.927350	0.930736	0.151556	0.132035	0.000000	0.000000	none	False
189|190	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.927350	0.930736	0.151556	0.132035	0.000000	0.000000	none	False
190|191	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.927350	0.930736	0.151556	0.132035	0.000000	0.000000	none	False
191|192	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.927350	0.930736	0.151556	0.132035	0.000000	0.000000	none	False
192|193	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.927350	0.930736	0.151556	0.132035	0.000000	0.000000	none	False
193|194	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.927350	0.930736	0.151556	0.132035	0.000000	0.000000	none	False
194|195	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.927350	0.930736	0.151556	0.132035	0.000000	0.000000	none	False
195|196	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.927350	0.930736	0.151556	0.132035	0.000000	0.000000	none	False
196|197	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.927350	0.930736	0.151556	0.132035	0.000000	0.000000	none	False
197|198	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.990384	0.993506	0.058798	0.043445	0.000000	0.000000	none	False
198|199	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.990384	0.993507	0.058798	0.043445	0.000000	0.000000	none	False
199|200	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.982906	0.985931	0.105753	0.091537	0.000000	0.000000	none	False
200|201	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.986111	0.988095	0.086153	0.077055	0.000000	0.000000	none	False
201|202	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.909188	0.911255	0.177542	0.167118	0.000000	0.000000	none	False
202|203	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.909188	0.911255	0.177542	0.167118	0.000000	0.000000	none	False
203|204	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.832265	0.834416	0.274696	0.262916	0.000000	0.000000	none	False
204|205	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.815171	0.818182	0.335702	0.322201	0.000000	0.000000	none	False
205|206	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.814102	0.817100	0.343948	0.330534	0.000000	0.000000	none	False
206|207	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.795940	0.799784	0.406982	0.391971	0.000000	0.000000	none	False
207|208	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.731838	0.735931	0.471928	0.457348	0.000000	0.000000	none	False
208|209	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.731838	0.735931	0.471928	0.457348	0.000000	0.000000	none	False
209|210	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.731838	0.735931	0.471928	0.457348	0.000000	0.000000	none	False
210|211	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.735043	0.738095	0.452328	0.442866	0.000000	0.000000	none	False
211|212	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.737179	0.740260	0.425530	0.416917	0.000000	0.000000	none	False
212|213	variable	variable	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.669872	0.673160	0.581818	0.573147	0.000000	0.000000	none	False
213|214	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.725427	0.728355	0.580060	0.571086	0.000000	0.000000	none	False
214|215	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.725427	0.728355	0.580060	0.571086	0.000000	0.000000	none	False
215|216	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.730769	0.732684	0.595736	0.586460	0.000000	0.000000	none	False
216|217	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.747863	0.748918	0.534730	0.527175	0.000000	0.000000	none	False
217|218	intermediate	intermediate	unchanged; strict geometry but conservation does not clear functional risk	unchanged_or_unresolved	0.748932	0.750000	0.526483	0.518842	0.000000	0.000000	none	False
218|219	intermediate	intermediate	unchanged; strict geometry but conservation does not clear functional risk	unchanged_or_unresolved	0.767094	0.767316	0.463450	0.457405	0.000000	0.000000	none	False
219|220	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.753205	0.753247	0.427131	0.420923	0.000000	0.000000	none	False
220|221	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	outside_strict_review_only; near-miss plus V2 evolutionary support	0.685023	0.684168	0.488687	0.479222	0.000000	0.000000	none	False
221|222	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	outside_strict_review_only; near-miss plus V2 evolutionary support	0.668998	0.669016	0.559112	0.545190	0.000000	0.000000	none	False
222|223	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	outside_strict_review_only; near-miss plus V2 evolutionary support	0.654041	0.653865	0.621245	0.607818	0.000000	0.000000	none	False
223|224	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	outside_strict_review_only; near-miss plus V2 evolutionary support	0.631605	0.630055	0.707014	0.697617	0.000000	0.000000	none	False
224|225	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.698912	0.697155	0.550727	0.541387	0.000000	0.000000	none	False
225|226	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.717075	0.716635	0.480695	0.467868	0.000000	0.000000	none	False
226|227	variable	variable	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.634810	0.634384	0.513178	0.500668	0.000000	0.000000	none	False
227|228	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.706391	0.706895	0.400349	0.389495	0.000000	0.000000	none	False
228|229	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.706391	0.706895	0.400349	0.389495	0.000000	0.000000	none	False
229|230	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.703186	0.704731	0.419948	0.403977	0.000000	0.000000	none	False
230|231	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.637302	0.639255	0.481643	0.466443	0.000000	0.000000	none	False
231|232	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.647986	0.648995	0.530462	0.517813	0.000000	0.000000	none	False
232|233	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.716168	0.718074	0.468906	0.459514	0.000000	0.000000	none	False
233|234	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.732194	0.733225	0.398481	0.393546	0.000000	0.000000	none	False
234|235	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.743946	0.746212	0.355948	0.345400	0.000000	0.000000	none	False
235|236	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.773860	0.776515	0.238669	0.227309	0.000000	0.000000	none	False
236|237	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.695962	0.698664	0.395597	0.380432	0.000000	0.000000	none	False
237|238	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.698098	0.699746	0.384244	0.374283	0.000000	0.000000	none	False
238|239	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.715589	0.717062	0.542429	0.518214	0.000000	0.000000	none	False
239|240	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.666664	0.639188	0.724959	0.637196	0.000000	0.000000	none	False
240|241	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.590858	0.561313	0.929356	0.816079	0.000000	0.000000	none	False
241|242	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.552396	0.551573	1.012335	0.850903	0.000000	0.000000	none	False
242|243	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.548835	0.540209	1.077696	0.854831	0.000000	0.000000	none	False
243|244	indel_signal	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	unchanged_or_unresolved	0.537083	0.529386	1.259196	1.023859	0.415929	0.000000	none	True
244|245	indel_signal	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	outside_strict_review_only; near-miss plus V2 evolutionary support	0.460160	0.450382	1.343916	1.103526	0.044248	0.000000	none	True
245|246	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	outside_strict_review_only; near-miss plus V2 evolutionary support	0.459091	0.449300	1.352163	1.111860	0.000000	0.000000	none	False
246|247	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.458023	0.447135	1.360348	1.121929	0.000000	0.000000	none	False
247|248	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.458023	0.447135	1.360348	1.121929	0.380531	0.000000	none	True
248|249	variable	lineage_indel_supported	literature-rescue retained; conservation variable; not promoted without functional/structure review	literature-rescue retained; V2 conservation lineage_indel_supported; not promoted	0.476127	0.465337	1.290580	1.056316	0.000000	0.903226	broader_lineage_supported	True
249|250	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.400273	0.388497	1.373722	1.136425	0.000000	0.000000	none	False
250|251	indel_signal	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	outside_strict_review_only; near-miss plus V2 evolutionary support	0.396671	0.385251	1.381135	1.155238	0.026549	0.000000	none	True
251|252	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.387903	0.405766	1.343102	1.180116	0.000000	0.000000	none	False
252|253	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.397471	0.417624	1.199710	1.062669	0.000000	0.000000	none	False
253|254	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.420975	0.412212	1.160166	1.074800	0.000000	0.000000	none	False
254|255	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.426673	0.426173	1.152896	1.129193	0.000000	0.000000	none	False
255|256	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.498254	0.498684	0.936706	0.917024	0.017699	0.000000	none	True
256|257	variable	variable	literature-rescue retained; conservation variable; not promoted without functional/structure review	literature-rescue retained; V2 conservation variable; not promoted	0.575177	0.577689	0.851986	0.837357	0.000000	0.000000	none	False
257|258	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.567187	0.560733	0.890201	0.914682	0.000000	0.000000	none	True
258|259	indel_signal	lineage_indel_supported	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.546028	0.547701	0.992408	0.977371	0.000000	0.000000	broader_lineage_supported	True
259|260	indel_signal	lineage_indel_supported	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.487412	0.489573	1.120386	1.120348	0.000000	0.000000	broader_lineage_supported	True
260|261	indel_signal	lineage_indel_supported	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.468574	0.470651	1.251748	1.246278	0.000000	0.000000	broader_lineage_supported	True
261|262	indel_signal	lineage_indel_supported	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.543360	0.546408	1.174696	1.172317	0.000000	0.000000	broader_lineage_supported	True
262|263	indel_signal	lineage_indel_supported	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.599984	0.602685	1.025525	1.026079	0.000000	0.000000	broader_lineage_supported	True
263|264	indel_signal	lineage_indel_supported	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.657676	0.660045	0.881028	0.882220	0.000000	0.000000	broader_lineage_supported	True
264|265	indel_signal	lineage_indel_supported	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.722847	0.724980	0.828269	0.829116	0.000000	0.000000	broader_lineage_supported	True
265|266	indel_signal	lineage_indel_supported	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.741009	0.742296	0.765236	0.767679	0.000000	0.000000	broader_lineage_supported	True
266|267	indel_signal	lineage_indel_supported	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.757678	0.758756	0.735199	0.736930	0.000000	0.000000	broader_lineage_supported	True
267|268	indel_signal	lineage_indel_supported	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.765157	0.765250	0.692443	0.699808	0.000000	0.000000	broader_lineage_supported	True
268|269	indel_signal	lineage_indel_supported	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.765157	0.765250	0.692443	0.699808	0.000000	0.000000	broader_lineage_supported	True
269|270	intermediate	lineage_indel_supported	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.774215	0.783287	0.645981	0.614149	0.000000	0.000000	broader_lineage_supported	True
270|271	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.782554	0.784415	0.576995	0.586194	0.000000	0.000000	none	False
271|272	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.829418	0.831720	0.492385	0.484190	0.000000	0.000000	none	False
272|273	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.908050	0.910292	0.273864	0.270750	0.000000	0.000000	none	False
273|274	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.910187	0.912456	0.259528	0.256268	0.000000	0.000000	none	False
274|275	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.919789	0.922187	0.225026	0.221493	0.000000	0.000000	none	False
275|276	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.919789	0.922187	0.225026	0.221493	0.000000	0.000000	none	False
276|277	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.910708	0.912808	0.273170	0.271315	0.000000	0.000000	none	False
277|278	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.832785	0.834957	0.513051	0.509804	0.000000	0.000000	none	False
278|279	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.879863	0.881375	0.423301	0.419766	0.000000	0.000000	none	False
279|280	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.841402	0.845661	0.532045	0.522710	0.000000	0.000000	none	False
280|281	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.838197	0.843496	0.551644	0.537192	0.000000	0.000000	none	False
281|282	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.838197	0.843496	0.551644	0.537192	0.000000	0.000000	none	False
282|283	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.848880	0.853236	0.531265	0.518936	0.000000	0.000000	none	False
283|284	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.786380	0.790105	0.562075	0.550387	0.000000	0.000000	none	False
284|285	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.769286	0.773871	0.636948	0.621391	0.000000	0.000000	none	False
285|286	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.689243	0.694982	0.846347	0.839366	0.000000	0.000000	none	False
286|287	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.641179	0.646291	1.054865	1.048058	0.000000	0.000000	none	False
287|288	variable	variable	increased_for_later_review; structural geometry plus evolutionary variability	reviewable_after_QC; structural pass plus V2 evolutionary support, functional context still required	0.579214	0.583520	1.131091	1.128816	0.000000	0.000000	none	False
288|289	variable	variable	increased_for_later_review; structural geometry plus evolutionary variability	reviewable_after_QC; structural pass plus V2 evolutionary support, functional context still required	0.541286	0.546363	1.193953	1.190328	0.000000	0.000000	none	False
289|290	variable	variable	increased_for_later_review; structural geometry plus evolutionary variability	reviewable_after_QC; structural pass plus V2 evolutionary support, functional context still required	0.619208	0.624214	0.954072	0.951840	0.000000	0.000000	none	False
290|291	variable	variable	increased_for_later_review; structural geometry plus evolutionary variability	reviewable_after_QC; structural pass plus V2 evolutionary support, functional context still required	0.571131	0.574430	1.063213	1.060688	0.000000	0.000000	none	False
291|292	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	outside_strict_review_only; near-miss plus V2 evolutionary support	0.589700	0.591221	1.038008	1.037501	0.000000	0.000000	none	False
292|293	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	unchanged_or_unresolved	0.514914	0.515464	1.124763	1.129662	0.000000	0.000000	none	False
293|294	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	unchanged_or_unresolved	0.514914	0.515464	1.124763	1.129662	0.000000	0.000000	none	False
294|295	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.439772	0.440247	1.104770	1.108479	0.000000	0.000000	none	False
295|296	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.442443	0.442773	1.264093	1.274481	0.000000	0.000000	none	False
296|297	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.446182	0.445659	1.251771	1.265711	0.000000	0.000000	none	False
297|298	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.445029	0.443379	1.210231	1.214138	0.000000	0.000000	none	False
298|299	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.461767	0.461725	1.151135	1.143752	0.000000	0.000000	none	False
299|300	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.523733	0.524496	1.074909	1.062994	0.000000	0.000000	none	False
300|301	variable	variable	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.553647	0.554799	1.043810	1.027254	0.000000	0.000000	none	False
301|302	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.485806	0.487339	1.128024	1.107554	0.000000	0.000000	none	False
302|303	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.515720	0.518724	1.099680	1.080166	0.000000	0.000000	none	False
303|304	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.535613	0.537647	1.016141	1.000408	0.000000	0.000000	none	False
304|305	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.535613	0.537647	1.052643	1.033104	0.000000	0.000000	none	False
305|306	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.459855	0.461989	1.255119	1.235429	0.000000	0.000000	none	False
306|307	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.463416	0.465777	1.331572	1.313439	0.000000	0.000000	none	False
307|308	variable	variable	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.458074	0.460366	1.263113	1.238527	0.000000	0.000000	none	False
308|309	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.392369	0.394709	1.324641	1.297805	0.000000	0.000000	none	False
309|310	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.396643	0.399038	1.260072	1.230661	0.000000	0.000000	none	False
310|311	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.415161	0.416406	1.152820	1.134827	0.000000	0.000000	none	False
311|312	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.342512	0.342813	1.345398	1.325602	0.000000	0.000000	none	False
312|313	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.360674	0.360129	1.257244	1.241675	0.000000	0.000000	none	False
313|314	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.427448	0.426507	1.181277	1.169708	0.000000	0.000000	none	False
314|315	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.445610	0.444905	1.100480	1.088249	0.000000	0.000000	none	False
315|316	variable	variable	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.445610	0.444905	1.100480	1.088249	0.000000	0.000000	none	False
316|317	variable	variable	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.480292	0.479448	1.044681	1.035174	0.000000	0.000000	none	False
317|318	variable	variable	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.519231	0.518182	0.906178	0.895901	0.000000	0.000000	none	False
318|319	variable	variable	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.569801	0.568543	0.877415	0.864972	0.000000	0.000000	none	False
319|320	variable	variable	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.633013	0.631494	0.727160	0.715323	0.000000	0.000000	none	False
320|321	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.716117	0.714286	0.618333	0.609206	0.000000	0.000000	none	False
