sequence_id	type_label	source_database	source_accession	organism	sequence_length	extraction_method	boundary_confidence	alignment_ref_coverage	alignment_identity	inferred_start	inferred_end	retain_reason	provenance_note
A7KC11|A94|a89_local_alignment_provisional	A94	UniProtKB	A7KC11	rhinovirus A94	322	a89_local_alignment_provisional	provisional	1.0000	0.7570	1094	1415	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V436|A9|a89_local_alignment_provisional	A9	UniProtKB	B9V436	rhinovirus A9	322	a89_local_alignment_provisional	provisional	1.0000	0.7469	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V437|A13|a89_local_alignment_provisional	A13	UniProtKB	B9V437	rhinovirus A13	322	a89_local_alignment_provisional	provisional	1.0000	0.7414	1098	1419	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V444|A25|a89_local_alignment_provisional	A25	UniProtKB	B9V444	rhinovirus A25	322	a89_local_alignment_provisional	provisional	1.0000	0.7259	1093	1414	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V446|A29|a89_local_alignment_provisional	A29	UniProtKB	B9V446	rhinovirus A29	322	a89_local_alignment_provisional	provisional	1.0000	0.7259	1092	1413	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V447|A31|a89_local_alignment_provisional	A31	UniProtKB	B9V447	rhinovirus A31	322	a89_local_alignment_provisional	provisional	1.0000	0.7321	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V455|A49|a89_local_alignment_provisional	A49	UniProtKB	B9V455	rhinovirus A49	322	a89_local_alignment_provisional	provisional	1.0000	0.7134	1088	1409	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V456|A50|a89_local_alignment_provisional	A50	UniProtKB	B9V456	rhinovirus A50	322	a89_local_alignment_provisional	provisional	1.0000	0.7290	1091	1412	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V463|A58|a89_local_alignment_provisional	A58	UniProtKB	B9V463	rhinovirus A58	321	a89_local_alignment_provisional	provisional	1.0000	0.9377	1100	1420	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V465|A61|a89_local_alignment_provisional	A61	UniProtKB	B9V465	rhinovirus A61	322	a89_local_alignment_provisional	provisional	1.0000	0.7227	1098	1419	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V470|A67|a89_local_alignment_provisional	A67	UniProtKB	B9V470	rhinovirus A67	322	a89_local_alignment_provisional	provisional	1.0000	0.7414	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V480|A81|a89_local_alignment_provisional	A81	UniProtKB	B9V480	Rhinovirus A81	322	a89_local_alignment_provisional	provisional	1.0000	0.7601	1091	1412	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V481|A82|a89_local_alignment_provisional	A82	UniProtKB	B9V481	rhinovirus A82	322	a89_local_alignment_provisional	provisional	1.0000	0.7352	1093	1414	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V486|A89|a89_local_alignment_provisional	A89	UniProtKB	B9V486	Human rhinovirus 89	321	a89_local_alignment_provisional	provisional	1.0000	0.9907	1104	1424	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V492|A96|a89_local_alignment_provisional	A96	UniProtKB	B9V492	rhinovirus A96	322	a89_local_alignment_provisional	provisional	1.0000	0.7383	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V497|A7|a89_local_alignment_provisional	A7	UniProtKB	B9V497	rhinovirus A7	321	a89_local_alignment_provisional	provisional	1.0000	0.9315	1102	1422	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V498|A9|a89_local_alignment_provisional	A9	UniProtKB	B9V498	rhinovirus A9	322	a89_local_alignment_provisional	provisional	1.0000	0.7531	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V4A3|A76|a89_local_alignment_provisional	A76	UniProtKB	B9V4A3	rhinovirus A76	322	a89_local_alignment_provisional	provisional	1.0000	0.7500	1093	1414	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V4A6|A94|a89_local_alignment_provisional	A94	UniProtKB	B9V4A6	rhinovirus A94	322	a89_local_alignment_provisional	provisional	1.0000	0.7539	1094	1415	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A1L1YP60|A21|a89_local_alignment_provisional	A21	UniProtKB	A0A1L1YP60	rhinovirus A21	322	a89_local_alignment_provisional	provisional	1.0000	0.7383	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A1L6C8J2|A16|a89_local_alignment_provisional	A16	UniProtKB	A0A1L6C8J2	Human rhinovirus 16	322	a89_local_alignment_provisional	provisional	1.0000	0.7508	1091	1412	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZE0|A41|a89_local_alignment_provisional	A41	UniProtKB	A5GZE0	rhinovirus A41	322	a89_local_alignment_provisional	provisional	1.0000	0.7383	1099	1420	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZE2|A15|a89_local_alignment_provisional	A15	UniProtKB	A5GZE2	rhinovirus A15	322	a89_local_alignment_provisional	provisional	1.0000	0.7321	1097	1418	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZE3|A74|a89_local_alignment_provisional	A74	UniProtKB	A5GZE3	rhinovirus A74	322	a89_local_alignment_provisional	provisional	1.0000	0.7445	1094	1415	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZE4|A38|a89_local_alignment_provisional	A38	UniProtKB	A5GZE4	rhinovirus A38	322	a89_local_alignment_provisional	provisional	1.0000	0.7352	1097	1418	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZE7|A10|a89_local_alignment_provisional	A10	UniProtKB	A5GZE7	rhinovirus A10	322	a89_local_alignment_provisional	provisional	1.0000	0.7227	1098	1419	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZE9|A59|a89_local_alignment_provisional	A59	UniProtKB	A5GZE9	rhinovirus A59	322	a89_local_alignment_provisional	provisional	1.0000	0.7250	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZF3|A88|a89_local_alignment_provisional	A88	UniProtKB	A5GZF3	rhinovirus A88	321	a89_local_alignment_provisional	provisional	1.0000	0.9439	1100	1420	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZF6|A53|a89_local_alignment_provisional	A53	UniProtKB	A5GZF6	rhinovirus A53	321	a89_local_alignment_provisional	provisional	1.0000	0.6572	1101	1421	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZG0|A55|a89_local_alignment_provisional	A55	UniProtKB	A5GZG0	rhinovirus A55	322	a89_local_alignment_provisional	provisional	1.0000	0.7290	1093	1414	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A7KC09|A64|a89_local_alignment_provisional	A64	UniProtKB	A7KC09	rhinovirus A64	322	a89_local_alignment_provisional	provisional	1.0000	0.7539	1094	1415	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V440|A19|a89_local_alignment_provisional	A19	UniProtKB	B9V440	rhinovirus A19	322	a89_local_alignment_provisional	provisional	1.0000	0.7383	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V449|A33|a89_local_alignment_provisional	A33	UniProtKB	B9V449	rhinovirus A33	322	a89_local_alignment_provisional	provisional	1.0000	0.7562	1093	1414	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V452|A43|a89_local_alignment_provisional	A43	UniProtKB	B9V452	rhinovirus A43	322	a89_local_alignment_provisional	provisional	1.0000	0.7227	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V462|A57|a89_local_alignment_provisional	A57	UniProtKB	B9V462	rhinovirus A57	322	a89_local_alignment_provisional	provisional	1.0000	0.7414	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V466|A62|a89_local_alignment_provisional	A62	UniProtKB	B9V466	rhinovirus A62	322	a89_local_alignment_provisional	provisional	1.0000	0.7227	1094	1415	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V478|A81|a89_local_alignment_provisional	A81	UniProtKB	B9V478	Rhinovirus A81	322	a89_local_alignment_provisional	provisional	1.0000	0.7601	1091	1412	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V4A0|A30|a89_local_alignment_provisional	A30	UniProtKB	B9V4A0	rhinovirus A30	322	a89_local_alignment_provisional	provisional	1.0000	0.7134	1087	1408	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
C6ZEZ8|A56|a89_local_alignment_provisional	A56	UniProtKB	C6ZEZ8	rhinovirus A56	322	a89_local_alignment_provisional	provisional	1.0000	0.7352	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
E1U266|A102|a89_local_alignment_provisional	A102	UniProtKB	E1U266	rhinovirus A102	321	a89_local_alignment_provisional	provisional	1.0000	0.6572	1104	1424	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
G3K3V2|A66|a89_local_alignment_provisional	A66	UniProtKB	G3K3V2	rhinovirus A66	322	a89_local_alignment_provisional	provisional	1.0000	0.7227	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
Q5XLP5|A39|a89_local_alignment_provisional	A39	UniProtKB	Q5XLP5	rhinovirus A39	322	a89_local_alignment_provisional	provisional	1.0000	0.7227	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A0F6VY53|A1B|a89_local_alignment_provisional	A1B	UniProtKB	A0A0F6VY53	Human rhinovirus 1B	322	a89_local_alignment_provisional	provisional	1.0000	0.7477	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A1L1YP39|A21|a89_local_alignment_provisional	A21	UniProtKB	A0A1L1YP39	rhinovirus A21	322	a89_local_alignment_provisional	provisional	1.0000	0.7383	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A1L1YP73|A21|a89_local_alignment_provisional	A21	UniProtKB	A0A1L1YP73	rhinovirus A21	322	a89_local_alignment_provisional	provisional	1.0000	0.7383	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A1P8DD92|A22|a89_local_alignment_provisional	A22	UniProtKB	A0A1P8DD92	rhinovirus A22	322	a89_local_alignment_provisional	provisional	1.0000	0.7601	1094	1415	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZE5|A49|a89_local_alignment_provisional	A49	UniProtKB	A5GZE5	rhinovirus A49	322	a89_local_alignment_provisional	provisional	1.0000	0.7040	1088	1409	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZE6|A23|a89_local_alignment_provisional	A23	UniProtKB	A5GZE6	Human rhinovirus 23	322	a89_local_alignment_provisional	provisional	1.0000	0.7196	1087	1408	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZF0|A34|a89_local_alignment_provisional	A34	UniProtKB	A5GZF0	rhinovirus A34	322	a89_local_alignment_provisional	provisional	1.0000	0.7290	1091	1412	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZF5|A46|a89_local_alignment_provisional	A46	UniProtKB	A5GZF5	rhinovirus A46	321	a89_local_alignment_provisional	provisional	1.0000	0.6667	1103	1423	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZF7|A28|a89_local_alignment_provisional	A28	UniProtKB	A5GZF7	rhinovirus A28	321	a89_local_alignment_provisional	provisional	1.0000	0.6792	1100	1420	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A7KC07|A12|a89_local_alignment_provisional	A12	UniProtKB	A7KC07	rhinovirus A12	320	a89_local_alignment_provisional	provisional	1.0000	0.6541	1096	1415	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A7KC10|A78|a89_local_alignment_provisional	A78	UniProtKB	A7KC10	rhinovirus A78	322	a89_local_alignment_provisional	provisional	1.0000	0.6906	1097	1418	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V439|A18|a89_local_alignment_provisional	A18	UniProtKB	B9V439	rhinovirus A18	322	a89_local_alignment_provisional	provisional	1.0000	0.7196	1091	1412	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V448|A32|a89_local_alignment_provisional	A32	UniProtKB	B9V448	rhinovirus A32	322	a89_local_alignment_provisional	provisional	1.0000	0.7445	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V450|A40|a89_local_alignment_provisional	A40	UniProtKB	B9V450	rhinovirus A40	322	a89_local_alignment_provisional	provisional	1.0000	0.7259	1097	1418	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V460|A54|a89_local_alignment_provisional	A54	UniProtKB	B9V460	rhinovirus A54	322	a89_local_alignment_provisional	provisional	1.0000	0.7352	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V467|A63|a89_local_alignment_provisional	A63	UniProtKB	B9V467	rhinovirus A63	322	a89_local_alignment_provisional	provisional	1.0000	0.7227	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V468|A65|a89_local_alignment_provisional	A65	UniProtKB	B9V468	rhinovirus A65	321	a89_local_alignment_provisional	provisional	1.0000	0.6635	1104	1424	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V471|A68|a89_local_alignment_provisional	A68	UniProtKB	B9V471	rhinovirus A68	321	a89_local_alignment_provisional	provisional	1.0000	0.6572	1105	1425	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V477|A80|a89_local_alignment_provisional	A80	UniProtKB	B9V477	rhinovirus A80	321	a89_local_alignment_provisional	provisional	1.0000	0.6500	1100	1420	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V487|A89|a89_local_alignment_provisional	A89	UniProtKB	B9V487	Human rhinovirus 89	321	a89_local_alignment_provisional	provisional	1.0000	0.9907	1104	1424	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V4A1|A38|a89_local_alignment_provisional	A38	UniProtKB	B9V4A1	rhinovirus A38	322	a89_local_alignment_provisional	provisional	1.0000	0.7321	1097	1418	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V4A2|A64|a89_local_alignment_provisional	A64	UniProtKB	B9V4A2	rhinovirus A64	322	a89_local_alignment_provisional	provisional	1.0000	0.7539	1094	1415	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V4A4|A78|a89_local_alignment_provisional	A78	UniProtKB	B9V4A4	rhinovirus A78	322	a89_local_alignment_provisional	provisional	1.0000	0.6906	1097	1418	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
D2IW00|A101|a89_local_alignment_provisional	A101	UniProtKB	D2IW00	rhinovirus A101	321	a89_local_alignment_provisional	provisional	1.0000	0.6792	1096	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
F6N707|A103|a89_local_alignment_provisional	A103	UniProtKB	F6N707	rhinovirus A103	321	a89_local_alignment_provisional	provisional	1.0000	0.6489	1107	1427	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A0F6YEK3|A1B|a89_local_alignment_provisional	A1B	UniProtKB	A0A0F6YEK3	Human rhinovirus 1B	322	a89_local_alignment_provisional	provisional	1.0000	0.7445	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A0F6YG53|A1B|a89_local_alignment_provisional	A1B	UniProtKB	A0A0F6YG53	Human rhinovirus 1B	322	a89_local_alignment_provisional	provisional	1.0000	0.7477	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A1L1YP56|A21|a89_local_alignment_provisional	A21	UniProtKB	A0A1L1YP56	rhinovirus A21	322	a89_local_alignment_provisional	provisional	1.0000	0.7383	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A1W5RRV7|A101|a89_local_alignment_provisional	A101	UniProtKB	A0A1W5RRV7	rhinovirus A101	321	a89_local_alignment_provisional	provisional	1.0000	0.6792	1097	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZF1|A76|a89_local_alignment_provisional	A76	UniProtKB	A5GZF1	rhinovirus A76	322	a89_local_alignment_provisional	provisional	1.0000	0.7469	1093	1414	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZF8|A82|a89_local_alignment_provisional	A82	UniProtKB	A5GZF8	rhinovirus A82	322	a89_local_alignment_provisional	provisional	1.0000	0.7414	1093	1414	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A7KC06|A11|a89_local_alignment_provisional	A11	UniProtKB	A7KC06	rhinovirus A11	322	a89_local_alignment_provisional	provisional	1.0000	0.7344	1091	1412	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V434|A8|a89_local_alignment_provisional	A8	UniProtKB	B9V434	rhinovirus A8	321	a89_local_alignment_provisional	provisional	1.0000	0.5919	1093	1413	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V442|A21|a89_local_alignment_provisional	A21	UniProtKB	B9V442	rhinovirus A21	322	a89_local_alignment_provisional	provisional	1.0000	0.7414	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V443|A22|a89_local_alignment_provisional	A22	UniProtKB	B9V443	rhinovirus A22	322	a89_local_alignment_provisional	provisional	1.0000	0.7570	1094	1415	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V453|A45|a89_local_alignment_provisional	A45	UniProtKB	B9V453	rhinovirus A45	321	a89_local_alignment_provisional	provisional	1.0000	0.5607	1091	1411	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V454|A47|a89_local_alignment_provisional	A47	UniProtKB	B9V454	rhinovirus A47	322	a89_local_alignment_provisional	provisional	1.0000	0.7290	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V457|A51|a89_local_alignment_provisional	A51	UniProtKB	B9V457	rhinovirus A51	321	a89_local_alignment_provisional	provisional	1.0000	0.6698	1104	1424	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V461|A56|a89_local_alignment_provisional	A56	UniProtKB	B9V461	rhinovirus A56	322	a89_local_alignment_provisional	provisional	1.0000	0.7352	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V464|A60|a89_local_alignment_provisional	A60	UniProtKB	B9V464	rhinovirus A60	322	a89_local_alignment_provisional	provisional	1.0000	0.7383	1097	1418	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V473|A71|a89_local_alignment_provisional	A71	UniProtKB	B9V473	rhinovirus A71	321	a89_local_alignment_provisional	provisional	1.0000	0.6792	1103	1423	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V475|A77|a89_local_alignment_provisional	A77	UniProtKB	B9V475	rhinovirus A77	322	a89_local_alignment_provisional	provisional	1.0000	0.7196	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V479|A81|a89_local_alignment_provisional	A81	UniProtKB	B9V479	Rhinovirus A81	322	a89_local_alignment_provisional	provisional	1.0000	0.7601	1091	1412	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V484|A85|a89_local_alignment_provisional	A85	UniProtKB	B9V484	rhinovirus A85	322	a89_local_alignment_provisional	provisional	1.0000	0.7259	1097	1418	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V488|A90|a89_local_alignment_provisional	A90	UniProtKB	B9V488	rhinovirus A90	322	a89_local_alignment_provisional	provisional	1.0000	0.7250	1091	1412	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V496|A100|a89_local_alignment_provisional	A100	UniProtKB	B9V496	rhinovirus A100	322	a89_local_alignment_provisional	provisional	1.0000	0.7134	1098	1419	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V4B1|A24|a89_local_alignment_provisional	A24	UniProtKB	B9V4B1	rhinovirus A24	322	a89_local_alignment_provisional	provisional	1.0000	0.7531	1092	1413	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
